1,Bitcoin,168323671315,9138.49,https://coinmarketcap.com/currencies/bitcoin/,BTC
2,Ethereum,25183543790,225.72,https://coinmarketcap.com/currencies/ethereum/,ETH
3,Tether,9187758573,0.999975,https://coinmarketcap.com/currencies/tether/,USDT
4,XRP,7783419354,0.175865,https://coinmarketcap.com/currencies/xrp/,XRP
5,Bitcoin Cash,4088472395,221.61,https://coinmarketcap.com/currencies/bitcoin-cash/,BCH
6,Bitcoin SV,2911452441,157.82,https://coinmarketcap.com/currencies/bitcoin-sv/,BSV
7,Litecoin,2683734643,41.33,https://coinmarketcap.com/currencies/litecoin/,LTC
8,Binance Coin,2396625074,15.41,https://coinmarketcap.com/currencies/binance-coin/,BNB
9,Crypto.com Coin,2211543624,0.125107,https://coinmarketcap.com/currencies/crypto-com-coin/,CRO
10,EOS,2194620156,2.35,https://coinmarketcap.com/currencies/eos/,EOS
11,Cardano,2162546522,0.083409,https://coinmarketcap.com/currencies/cardano/,ADA
12,Tezos,1741600983,2.37,https://coinmarketcap.com/currencies/tezos/,XTZ
13,Chainlink,1607974439,4.59,https://coinmarketcap.com/currencies/chainlink/,LINK
14,Stellar,1363470642,0.066941,https://coinmarketcap.com/currencies/stellar/,XLM
15,UNUS SED LEO,1259842035,1.26,https://coinmarketcap.com/currencies/unus-sed-leo/,LEO
16,Monero,1124235621,63.82,https://coinmarketcap.com/currencies/monero/,XMR
17,TRON,1093860385,0.016404,https://coinmarketcap.com/currencies/tron/,TRX
18,USD Coin,927251488,1.00,https://coinmarketcap.com/currencies/usd-coin/,USDC
19,Huobi Token,901053487,4.14,https://coinmarketcap.com/currencies/huobi-token/,HT
20,Neo,708824980,10.05,https://coinmarketcap.com/currencies/neo/,NEO
21,Ethereum Classic,666021345,5.73,https://coinmarketcap.com/currencies/ethereum-classic/,ETC
22,Dash,654078346,68.29,https://coinmarketcap.com/currencies/dash/,DASH
23,IOTA,610257745,0.219554,https://coinmarketcap.com/currencies/iota/,MIOTA
24,Compound,554882017,216.64,https://coinmarketcap.com/currencies/compound/,COMP
25,Cosmos,494770418,2.59,https://coinmarketcap.com/currencies/cosmos/,ATOM
26,Zcash,491381004,51.77,https://coinmarketcap.com/currencies/zcash/,ZEC
27,VeChain,487537455,0.008792,https://coinmarketcap.com/currencies/vechain/,VET
28,Maker,454955591,452.43,https://coinmarketcap.com/currencies/maker/,MKR
29,HedgeTrade,432327739,1.50,https://coinmarketcap.com/currencies/hedgetrade/,HEDG
30,Ontology,402712052,0.577992,https://coinmarketcap.com/currencies/ontology/,ONT
31,NEM,385788357,0.042865,https://coinmarketcap.com/currencies/nem/,XEM
32,Basic Attention Token,372383387,0.252710,https://coinmarketcap.com/currencies/basic-attention-token/,BAT
33,OKB,303598647,5.06,https://coinmarketcap.com/currencies/okb/,OKB
34,Dogecoin,290474675,0.002320,https://coinmarketcap.com/currencies/dogecoin/,DOGE
35,FTX Token,271972902,2.88,https://coinmarketcap.com/currencies/ftx-token/,FTT
36,DigiByte,271890788,0.020448,https://coinmarketcap.com/currencies/digibyte/,DGB
37,Paxos Standard,244965192,1.00,https://coinmarketcap.com/currencies/paxos-standard/,PAX
38,0x,233840309,0.335102,https://coinmarketcap.com/currencies/0x/,ZRX
39,Kyber Network,215170329,1.20,https://coinmarketcap.com/currencies/kyber-network/,KNC
40,The Midas Touch Gold,214025692,0.056026,https://coinmarketcap.com/currencies/the-midas-touch-gold/,TMTG
41,OMG Network,204855260,1.46,https://coinmarketcap.com/currencies/omg/,OMG
42,THETA,194025530,0.222889,https://coinmarketcap.com/currencies/theta/,THETA
43,Augur,182533894,16.59,https://coinmarketcap.com/currencies/augur/,REP
44,Zilliqa,181185576,0.017691,https://coinmarketcap.com/currencies/zilliqa/,ZIL
45,Hedera Hashgraph,179723866,0.038366,https://coinmarketcap.com/currencies/hedera-hashgraph/,HBAR
