Bitcoin,9202.99,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,229.41,https://coinmarketcap.com/currencies/ethereum/
Tether,1.00,https://coinmarketcap.com/currencies/tether/
XRP,0.177025,https://coinmarketcap.com/currencies/xrp/
Bitcoin Cash,224.98,https://coinmarketcap.com/currencies/bitcoin-cash/
Bitcoin SV,155.46,https://coinmarketcap.com/currencies/bitcoin-sv/
Litecoin,41.92,https://coinmarketcap.com/currencies/litecoin/
Binance Coin,15.53,https://coinmarketcap.com/currencies/binance-coin/
Crypto.com Coin,0.126806,https://coinmarketcap.com/currencies/crypto-com-coin/
EOS,2.37,https://coinmarketcap.com/currencies/eos/
Cardano,0.084310,https://coinmarketcap.com/currencies/cardano/
Tezos,2.41,https://coinmarketcap.com/currencies/tezos/
Chainlink,4.62,https://coinmarketcap.com/currencies/chainlink/
Stellar,0.067387,https://coinmarketcap.com/currencies/stellar/
UNUS SED LEO,1.27,https://coinmarketcap.com/currencies/unus-sed-leo/
Monero,64.15,https://coinmarketcap.com/currencies/monero/
TRON,0.016465,https://coinmarketcap.com/currencies/tron/
USD Coin,1.00,https://coinmarketcap.com/currencies/usd-coin/
Huobi Token,4.15,https://coinmarketcap.com/currencies/huobi-token/
Neo,10.06,https://coinmarketcap.com/currencies/neo/
Ethereum Classic,5.73,https://coinmarketcap.com/currencies/ethereum-classic/
Dash,68.05,https://coinmarketcap.com/currencies/dash/
IOTA,0.226367,https://coinmarketcap.com/currencies/iota/
Compound,212.81,https://coinmarketcap.com/currencies/compound/
Cosmos,2.63,https://coinmarketcap.com/currencies/cosmos/
Zcash,52.02,https://coinmarketcap.com/currencies/zcash/
VeChain,0.008751,https://coinmarketcap.com/currencies/vechain/
Maker,456.02,https://coinmarketcap.com/currencies/maker/
HedgeTrade,1.51,https://coinmarketcap.com/currencies/hedgetrade/
Ontology,0.572840,https://coinmarketcap.com/currencies/ontology/
NEM,0.042299,https://coinmarketcap.com/currencies/nem/
Basic Attention Token,0.253304,https://coinmarketcap.com/currencies/basic-attention-token/
OKB,5.06,https://coinmarketcap.com/currencies/okb/
Dogecoin,0.002311,https://coinmarketcap.com/currencies/dogecoin/
FTX Token,2.92,https://coinmarketcap.com/currencies/ftx-token/
DigiByte,0.020186,https://coinmarketcap.com/currencies/digibyte/
Paxos Standard,1.00,https://coinmarketcap.com/currencies/paxos-standard/
0x,0.339943,https://coinmarketcap.com/currencies/0x/
